"","COP","CVX","XOM","XLE","SPY"
"2023-11-29",105.546272277832,129.391464233398,94.1892776489258,38.4426536560059,439.515533447266
"2023-11-30",107.028022766113,129.112716674805,94.5574264526367,38.6988830566406,441.246032714844
"2023-12-01",106.71314239502,130.200668334961,94.7875061035156,38.9001960754395,443.8564453125
"2023-12-04",106.064895629883,130.254608154297,94.2721176147461,38.7217559814453,441.526458740234
"2023-12-05",104.777626037598,128.447387695312,92.4406051635742,38.0445938110352,441.439483642578
"2023-12-06",102.351272583008,128.150680541992,91.2165374755859,37.4772415161133,439.660491943359
"2023-12-07",102.656875610352,128.0517578125,90.5814819335938,37.2210159301758,443.015350341797
"2023-12-08",103.786720275879,129.751083374023,91.6214828491211,37.6236572265625,444.919921875
"2023-12-11",103.870063781738,129.787063598633,91.6859130859375,37.6694107055664,446.650451660156
"2023-12-12",102.851341247559,128.123718261719,90.2409591674805,37.1523742675781,448.690368652344
"2023-12-13",103.582962036133,130.020858764648,91.0416564941406,37.6694107055664,454.877899169922
"2023-12-14",106.453842163086,134.804107666016,93.4898071289062,38.7766609191895,456.337768554688
"2023-12-15",106.074142456055,134.282638549805,92.8639678955078,38.5707664489746,455.58642578125
"2023-12-18",106.407531738281,134.579330444336,93.5542373657227,38.8858108520508,458.149139404297
"2023-12-19",107.880012512207,136.341583251953,94.7875061035156,39.3523635864258,460.935089111328
"2023-12-20",108.065223693848,135.091857910156,93.2044906616211,38.987434387207,454.547760009766
"2023-12-21",108.194900512695,135.505432128906,93.6278686523438,39.1398773193359,458.857788085938
"2023-12-22",108.963554382324,135.811126708984,93.7935409545898,39.2553558349609,459.779968261719
"2023-12-26",110.223014831543,137.033935546875,94.0052185058594,39.5925674438477,461.721374511719
"2023-12-27",109.732192993164,136.584365844727,93.5634384155273,39.4170341491699,462.556243896484
"2023-12-28",107.889274597168,134.660247802734,92.2105255126953,38.816520690918,462.730926513672
"2023-12-29",107.491065979004,134.111801147461,92.0172424316406,38.7287483215332,461.391357421875
"2024-01-02",108.898719787598,134.399536132812,94.2076873779297,39.1444931030273,458.809204101562
"2024-01-03",111.065765380859,136.962005615234,94.9991989135742,39.7819633483887,455.062255859375
"2024-01-04",107.870750427246,135.460464477539,94.1708755493164,39.0844345092773,453.596466064453
"2024-01-05",107.917068481445,135.226715087891,94.4561767578125,39.1167678833008,454.2177734375
"2024-01-08",106.037101745605,134.417510986328,92.8823776245117,38.6640739440918,460.702117919922
"2024-01-09",104.425720214844,131.000869750977,91.73193359375,38.0450820922852,460.003112792969
"2024-01-10",102.96248626709,129.921936035156,90.8299865722656,37.6709136962891,462.604675292969
